# package_versions_rhel9.txt - RHEL9 variant (SLU) - generated 2026-08-27
# Image: dgilli/baseimage-selkies:rhel9-p1 (10bbd70e1502)
# REPO key: ubi9-base = vanilla UBI9 layer | rhel9 = RH-signed, installed from entitled rhel-9-for-x86_64-* repos (subscription-manager container mode)
#           epel = EPEL9 (desktop delta) | python = /lsiopy venv (selkies 348bc4f + deps)
#
NAME                                                                          VERSION                                 TYPE      REPO
flac-libs                                                              1.3.3-10.el9_2.1.x86_64                  rpm      rhel9
giflib                                                                 5.2.1-10.el9_8.2.x86_64                  rpm      rhel9
redhat-logos-httpd                                                     90.6-1.el9.noarch                        rpm      rhel9
nginx                                                                  1.20.1-28.el9_8.5.x86_64                 rpm      rhel9
llvm-filesystem                                                        21.1.8-2.el9.x86_64                      rpm      rhel9
cmake-filesystem                                                       3.31.8-3.el9.x86_64                      rpm      rhel9
redhat-logos                                                           90.6-1.el9.x86_64                        rpm      rhel9
breeze-icon-theme                                                      5.115.0-1.el9.noarch                     rpm      epel
libX11-common                                                          1.8.12-1.el9.noarch                      rpm      rhel9
libX11                                                                 1.8.12-1.el9.x86_64                      rpm      rhel9
libXext                                                                1.3.4-8.el9.x86_64                       rpm      rhel9
libXrender                                                             0.9.10-16.el9_8.1.x86_64                 rpm      rhel9
libXi                                                                  1.7.10-8.el9.x86_64                      rpm      rhel9
libXinerama                                                            1.1.4-10.el9.x86_64                      rpm      rhel9
libXrandr                                                              1.5.2-8.el9.x86_64                       rpm      rhel9
libXfixes                                                              5.0.3-16.el9.x86_64                      rpm      rhel9
libXcursor                                                             1.2.0-7.el9.x86_64                       rpm      rhel9
libXtst                                                                1.2.3-16.el9.x86_64                      rpm      rhel9
libXxf86vm                                                             1.1.4-18.el9.x86_64                      rpm      rhel9
libXt                                                                  1.2.0-6.el9.x86_64                       rpm      rhel9
libXmu                                                                 1.1.3-8.el9.x86_64                       rpm      rhel9
libXv                                                                  1.0.11-16.el9.x86_64                     rpm      rhel9
libXcomposite                                                          0.4.5-7.el9.x86_64                       rpm      rhel9
startup-notification                                                   0.12-23.el9.x86_64                       rpm      rhel9
libXpm                                                                 3.5.13-10.el9.x86_64                     rpm      rhel9
libXaw                                                                 1.0.13-19.el9.x86_64                     rpm      rhel9
xorg-x11-xauth                                                         1.1-10.el9.x86_64                        rpm      rhel9
libxdo                                                                 3.20211022.1-1.el9.x86_64                rpm      epel
at-spi2-core                                                           2.40.3-1.el9.x86_64                      rpm      rhel9
at-spi2-atk                                                            2.38.0-4.el9.x86_64                      rpm      rhel9
libXdamage                                                             1.1.5-7.el9.x86_64                       rpm      rhel9
libXxf86dga                                                            1.1.5-8.el9.x86_64                       rpm      rhel9
libdmx                                                                 1.1.4-14.el9.x86_64                      rpm      rhel9
libxkbfile                                                             1.1.0-8.el9.x86_64                       rpm      rhel9
xkbcomp                                                                1.4.4-4.el9.x86_64                       rpm      rhel9
xorg-x11-server-common                                                 1.20.11-34.el9_8.3.x86_64                rpm      rhel9
libwacom-data                                                          1.12.1-6.el9_7.noarch                    rpm      rhel9
libwacom                                                               1.12.1-6.el9_7.x86_64                    rpm      rhel9
emacs-filesystem                                                       27.2-18.el9.noarch                       rpm      rhel9
desktop-file-utils                                                     0.26-6.el9.x86_64                        rpm      rhel9
xterm-resize                                                           366-12.el9_6.x86_64                      rpm      rhel9
google-noto-fonts-common                                               20201206-5.el9.noarch                    rpm      rhel9
gnome-menus                                                            3.36.0-9.el9_4.x86_64                    rpm      rhel9
liberation-fonts-common                                                2.1.3-5.el9.noarch                       rpm      rhel9
liberation-mono-fonts                                                  2.1.3-5.el9.noarch                       rpm      rhel9
google-noto-cjk-fonts-common                                           20230817-2.el9.noarch                    rpm      rhel9
zlib-devel                                                             1.2.11-40.el9.x86_64                     rpm      ubi9-base
xz-devel                                                               5.2.5-8.el9_0.x86_64                     rpm      ubi9-base
libxml2-devel                                                          2.9.13-14.el9_8.2.x86_64                 rpm      ubi9-base
webrtc-audio-processing                                                0.3.1-8.el9.x86_64                       rpm      rhel9
mtdev                                                                  1.1.5-22.el9.x86_64                      rpm      rhel9
gsm                                                                    1.0.19-6.el9.x86_64                      rpm      rhel9
